№ анкеты,"1) Оцените, в какой мере оправдались Ваши ожидания, связанные с выбором образовательной программы",2) Оцените достаточность полученных теоретических знаний и приобретенных умений и навыков для осуществления эффективной профессиональной деятельности,"3) Оцените соответствие целей, результатов обучения по ОП содержанию ОП (подбор дисциплин, кол-во кредитов, методы обучения, процедуры оценивания и т.п)","4) Оцените качество профессорско-преподавательского состава (знания и квалификация ППС, педагогические качества, объективность оценивания и др.)","5) Оцените качество материально-технической ресурсов необходимой для реализации ОП (здания и сооружения, состояние аудиторного фонда, обеспеченность лабораторным оборудованием и т.д.)","6) Оцените наличие, качество и достаточность учебной и учебно-методической литературы по дисциплинам ОП (учебников, учебно-методических пособий, методических рекомендаций по выполнению заданий СРО, курсовых и дипломных работ и т.д.)","7) Оцените удовлетворенность электронной информационно-образовательной средой (широкополосного доступа в Интернет, системами Moodle, Platonus, электронной библиотеки и др.)","8) Оцените качество организации, проведения и содержание профессиональных практик","9) Как Вы считаете, на сколько соответствуют знания, умения и навыки, полученные обучающимися при освоении образовательной программы, оценке, полученной на итоговой аттестации (при защите дипломной работы / комплексного экзамена)","Ваши пожелания и предложения
",Язык,Длина,Тональность_класс
10678,8,9,10,9,10,9,10,10,9,"кеңес алу оңай, байланыс ашық. оқытушылар жедел жауап береді, түсіндіру нақты, егер қысқаша мини‑жобалар пайдалы.",kz,long,positive
10679,9,8,10,10,8,10,9,8,10,"формат практики удобный, инструкции доходчиво и по делу., в итоге (418)",ru,medium,positive
10680,5,3,6,4,5,6,5,6,4,"без особых замечаний. рабочая рутина, всё стабильно, стоит подумать усилить практику и кейсы, кроме того мини‑проекты и задания помогают…",ru,long,neutral
10681,10,8,8,8,10,9,8,10,8,"мини‑проекты и хакатоны помогают закреплять темы!, в целом (882)",ru,medium,positive
10682,6,7,5,7,6,6,6,6,6,"ерекше ескертулер жоқ, жақсы болар еді практиканы және кейстер күшейту…",kz,medium,neutral
10683,4,3,5,4,6,6,4,6,6,"без особых замечаний. рабочая рутина, всё стабильно, имеет смысл усилить практику и кейсы, между прочим мини‑проекты и задания помогают.",ru,long,neutral
10684,8,6,6,5,9,8,6,8,7,ерекше ескертулер жоқ… (351),kz,short,neutral
10685,8,10,9,8,10,10,10,10,9,"объясняют наглядно, делятся опытом и лайфхаками. преподаватели вовлечены, отвечают оперативно, было бы полезно усилить практику и разборы ситуаций.",ru,long,positive
10686,3,3,3,1,3,3,4,3,3,"недостаточно практики и разборов, мало разборы ситуаций. недостаточно практики и разборов, мало разборы ситуаций, имеет смысл усилить практику и кейсы…",ru,long,negative
10687,4,5,4,2,6,3,6,3,3,"рабочая рутина, всё стабильно, стоит подумать усилить практику и примеры…",ru,medium,neutral
10688,8,10,10,10,10,10,10,8,10,"кеңес алу оңай, байланыс ашық, болғаны дұрыс практиканы және кейстер күшейту.",kz,medium,positive
10689,6,9,6,7,9,7,8,10,7,"преподаватели вовлечены, отвечают точно по графику, по факту уведомления работают стабильно!",ru,medium,positive
10690,7,9,6,8,7,8,7,9,8,"без особых замечаний, айтпақшы барлығы бірқалыпты, қоса жобалар/проекттер пайдалы…",mixed,medium,neutral
10691,10,8,7,10,10,10,8,9,8,"мини‑проекты и хакатоны помогают закреплять темы!, между прочим (867)",ru,medium,positive
10692,10,9,8,8,9,10,10,9,8,"формат ыңғайлы, нұсқаулықтар айқын берілген. мини‑жобалар тақырыптарды бекітеді, кейде кеңес алу оңай, егер қысқаша кеңес алу оңай!",kz,long,positive
10693,7,7,7,8,7,9,7,8,9,"кеңес алу оңай, байланыс ашық. (787)",kz,short,positive
10694,8,7,6,6,8,9,7,8,7,"материалдар реттелген, онлайн жүйе ыңғайлы., соңында (268)",kz,short,positive
10695,10,8,9,9,10,10,10,10,9,"график пар без накладок, уведомления понятная. программа выглядит под рынок, было бы полезно усилить практику и примеры.",ru,long,positive
10696,7,8,6,5,7,7,6,6,7,"рабочая рутина, всё стабильно, по факту обратная связь работают стабильно…",ru,medium,neutral
10697,5,7,8,6,7,7,8,6,7,"рабочая рутина, всё стабильно, замечу уведомления работают стабильно",ru,medium,neutral
10698,6,9,9,8,10,8,8,8,9,"формат практики удобный, инструкции наглядно и по делу., между прочим (728)",ru,medium,positive
10699,9,7,9,8,9,7,7,8,7,"оқытушылар жедел жауап береді, түсіндіру түсінікті, жақсы болар еді практиканы және мысалдар күшейту!",kz,medium,positive
10700,9,10,9,9,9,10,9,6,9,"материалы структурированы, онлайн‑платформа удобна, хотелось бы усилить практику и кейсы.",ru,medium,positive
10701,2,3,3,2,2,2,3,2,3,"практика жетіспейді, нақты жағдайлар аз, кейде мини‑жобалар пайдалы.",kz,medium,negative
10702,9,10,9,9,9,9,8,9,8,"объясняют понятно, делятся опытом и лайфхаками, можно усилить усилить практику и кейсы.",ru,medium,positive
